"signatureID","GeneID","coefficients","Pvals"
"CMAP_1023",10175,0.0646064,0.596618506298016
"CMAP_1023",10179,0.0920895,0.465200807994035
"CMAP_1023",1018,0.0325353,0.84011195302976
"CMAP_1023",10180,0.253302,0.154202083690973
"CMAP_1023",10181,0.192152,0.0842106671250031
"CMAP_1023",10184,0.475188,0.000606918638254977
"CMAP_1023",10186,-0.752184,0.013286820057889
"CMAP_1023",10188,0.106695,0.446745393498777
"CMAP_1023",1019,0.0238615,0.886830666588571
"CMAP_1023",10190,0.0291411,0.766292937189924
"CMAP_1023",10193,0.225307,0.105290015246197
"CMAP_1023",10195,-0.364346,0.00986817050375659
"CMAP_1023",10196,-0.174479,0.185923070465013
"CMAP_1023",10197,-0.336164,0.00707742032634435
"CMAP_1023",10198,0.0352258,0.851051364623912
"CMAP_1023",10199,-0.228662,0.188864921063992
"CMAP_1023",102,-0.0606506,0.630608902649301
"CMAP_1023",1020,-0.22384,0.0841842581748319
"CMAP_1023",10200,-0.229908,0.0765504333088701
"CMAP_1023",10201,-0.196566,0.573134088525033
"CMAP_1023",10202,0.194079,0.865686983758087
"CMAP_1023",10203,0.0462934,0.612753468668319
"CMAP_1023",10205,-0.344205,0.0318206846644115
"CMAP_1023",10206,-0.132812,0.353726762839682
"CMAP_1023",10207,-0.0474059,0.82695232087681
"CMAP_1023",10208,-0.0137464,0.953952104259734
"CMAP_1023",10209,0.469459,5.08249455391767e-05
"CMAP_1023",1021,-0.119294,0.64242591212415
"CMAP_1023",10210,0.277268,0.052881505716664
"CMAP_1023",10211,0.236426,0.119815666586348
"CMAP_1023",10212,-0.15954,0.204999599776003
"CMAP_1023",10213,-0.203191,0.110823837828347
"CMAP_1023",10214,-0.142616,0.373090652125883
"CMAP_1023",10215,0.00773176,0.948070167926917
"CMAP_1023",10216,0.0435954,0.69111346961813
"CMAP_1023",10217,-0.176298,0.446680867970794
"CMAP_1023",10218,0.150399,0.405310559927654
"CMAP_1023",10219,-0.180248,0.289540013978809
"CMAP_1023",1022,0.299547,0.090770177306243
"CMAP_1023",10220,-0.212143,0.0858741117221099
"CMAP_1023",10221,0.0925699,0.537752789198974
"CMAP_1023",10223,0.0533242,0.753144457441367
"CMAP_1023",10225,-0.0240859,0.859878224501802
"CMAP_1023",10226,-0.0855234,0.526878116431522
"CMAP_1023",10227,-0.331306,0.0674308292758442
"CMAP_1023",10228,0.0646694,0.570193681757489
"CMAP_1023",10229,0.0433678,0.790976247569738
"CMAP_1023",10230,0.0722046,0.649891602400831
"CMAP_1023",10231,0.0877566,0.431785996346366
"CMAP_1023",10232,0.234913,0.0789295308045299
"CMAP_1023",10233,-0.230808,0.500894144439329
"CMAP_1023",10234,-0.0682523,0.584529454996536
"CMAP_1023",10235,-0.0261788,0.826808615650461
"CMAP_1023",10236,-0.105514,0.551833771771935
"CMAP_1023",10237,0.227678,0.159485061680859
"CMAP_1023",10238,-0.152497,0.686428745311887
"CMAP_1023",10239,0.222109,0.011872653014954
"CMAP_1023",10240,-0.163586,0.151360669156355
"CMAP_1023",10241,0.0916393,0.542716296233327
"CMAP_1023",10242,0.118136,0.354327608029648
"CMAP_1023",10243,-0.432737,0.052789693162089
"CMAP_1023",10244,-0.175719,0.0267816568086581
"CMAP_1023",10245,-0.0705077,0.692636401396371
"CMAP_1023",10246,-0.0662698,0.769429996723057
"CMAP_1023",10247,-0.148845,0.271942738046447
"CMAP_1023",10248,-0.251658,0.145067998327689
"CMAP_1023",10249,0.0131151,0.880051413863757
"CMAP_1023",1025,0.19244,0.473603976692079
"CMAP_1023",10250,-0.283662,0.115969879952655
"CMAP_1023",10252,-0.0872428,0.921179913689113
"CMAP_1023",10253,0.530929,0.00955788598159475
"CMAP_1023",10254,0.187571,0.278009333338168
"CMAP_1023",10255,0.154784,0.337766697200534
"CMAP_1023",10256,0.171937,0.281879041560624
"CMAP_1023",10257,-0.2103,0.325852502831867
"CMAP_1023",1026,1.72889,0.0106728663237465
"CMAP_1023",10261,-0.192403,0.186722031466599
"CMAP_1023",10262,-0.397616,0.0615270294414342
"CMAP_1023",10263,0.423765,0.0620439876682485
"CMAP_1023",10265,-0.0915269,0.757230120119973
"CMAP_1023",10266,0.259979,0.0725984764325565
"CMAP_1023",10267,-0.220156,0.0715759748715101
"CMAP_1023",10268,-0.00689223,0.9652543622467
"CMAP_1023",10269,-0.0820322,0.553011428906045
"CMAP_1023",1027,0.405469,0.00596487442242132
"CMAP_1023",10270,-0.151449,0.0840128140248291
"CMAP_1023",10272,0.114136,0.741795054706164
"CMAP_1023",10273,-0.0431753,0.672579476744791
"CMAP_1023",10274,0.10989,0.417084083424347
"CMAP_1023",10276,-0.0933297,0.522349798990895
"CMAP_1023",10277,-0.273688,0.00734663758735753
